Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Date
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE,1-Feb-22
0,0,0,0,2,64,0,0.1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE,2-Feb-22
0,0,0,0,1,0,0.2,0.2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE,2-Feb-22
0,0,0,0,2,2.666666667,0.05,0.14,0,0,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE,2-Feb-22
0,0,0,0,-10,627.5,0.02,0.05,0,0,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE,5-Feb-22
0,0,0,0,19,-154.2166667,0.015789474,0.024561404,0,0,Feb,2,,1,3,Returning_Visitor,FALSE,FALSE,6-Feb-22
0,0,0,0,1,0,0.2,0.2,0,0.4,Feb,2,,3,3,Returning_Visitor,?,FALSE,7-Feb-22
1,0,0,0,0,0,0.2,0.2,0,0,Feb,1,,1,5,Returning_Visitor,?,FALSE,8-Feb-22
0,0,0,0,2,37,0,0.1,0,0.8,Feb,2,,2,3,Returning_Visitor,?,FALSE,9-Feb-22
0,0,0,0,3,738,0,0.022222222,0,0.4,Feb,2,,1,2,Returning_Visitor,?,FALSE,10-Feb-22
2,9,0,0,50,836.8,0,0.006339869,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE,4-Mar-22
10,293.7782051,2,153,96,3283.166739,0.001960784,0.013509414,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE,FALSE,5-Mar-22
9,111.5,1,48.5,49,1868.819697,0,0.020708874,1.706014966,0,Mar,2,2,7,2,Returning_Visitor,FALSE,TRUE,6-Mar-22
3,47,1,51,68,3008.124108,0.007142857,0.016727891,46.53017511,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE,7-Mar-22
0,0,0,0,2,0,0.2,0.2,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE,8-Mar-22
3,1226,5,3,24,3230.25,0.036190476,0.096,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE,9-Mar-22
3,52,0,0,9,319,0,0.02,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE,FALSE,10-Mar-22
0,0,0,0,3,42,0,0.066666667,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE,11-Mar-22
0,0,0,0,22,354.3333333,0.009090909,0.057662338,0,0,Mar,1,1,7,2,Returning_Visitor,TRUE,FALSE,12-Mar-22
0,0,0,0,98,3556.61241,0.002061856,0.010173465,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE,20-Mar-22
0,0,0,0,5,68.4,0,0.08,0,0,6,2,4,2,4,Returning_Visitor,FALSE,FALSE,15-Jun-22
3,9.5,0,0,25,528.9666667,0.007692308,0.037179487,3.296827304,0,6,2,2,2,3,Returning_Visitor,FALSE,FALSE,16-Jun-22
1,57.4,0,0,6,303.1,0.028571429,0.014285714,0,0,6,1,2,3,2,Returning_Visitor,FALSE,FALSE,17-Jun-22
0,0,0,0,38,3287,0.036842105,0.075814536,0,0,6,2,5,1,1,Returning_Visitor,FALSE,FALSE,18-Jun-22
3,56.8,1,3,73,1677.666667,0.010666667,0.040444444,0,0,6,2,2,7,1,Returning_Visitor,FALSE,FALSE,19-Jun-22
0,0,0,0,22,1321.7,0,0.010833333,0,0,6,2,2,2,13,Returning_Visitor,FALSE,FALSE,20-Jun-22
6,89.8,0,0,26,1570.133333,0,0.005357143,0,0,6,2,2,8,4,New_Visitor,TRUE,FALSE,21-Jun-22
0,0,0,0,3,33.2,0,0.066666667,0,0,6,1,1,3,1,Returning_Visitor,TRUE,FALSE,22-Jun-22
10,340.9,3,269.8,99,3611.978569,0.000641026,0.00210649,0.847337986,0,6,2,2,1,7,Returning_Visitor,FALSE,TRUE,23-Jun-22
2,254,1,39,95,4990.959524,0.004123711,0.015307716,5.638103093,0,May,2,2,1,6,Returning_Visitor,FALSE,TRUE,4-May-22
0,0,0,0,4,158,0.05,0.1,0,0,May,2,2,4,13,Returning_Visitor,FALSE,FALSE,5-May-22
